新诗书目


说明

1．本书目收录1920—2016年出版的全国（包括港台地区）新诗作品，共分三部分。第一部分为个人专集，第二部分为合著，第三部分为多人合集。

2．收录的诗集以初版本为主，初版本一时查不到的，则收录再版本。

3．专集按作者姓氏笔画排列，笔画相同的以起笔﹝一﹞﹝丨﹞﹝ノ﹞﹝丶﹞﹝乛﹞为序。合著按第一作者姓氏笔画为序排列。合集以编者、出版单位名称笔画为序排列。同一诗人专集以出版日期先后为序。





专集

外文

河边恋歌 A·M 上海诗创造社1931年版

浪花 CF女士 北新书局1924年版

我们的心，我们的七月 OM 上海亚东书局1924年版

一画

夜快车 一信 台湾世界画刊社1961年版

时间 一信 台北中国青年诗人联盟会1967年版

二画

向阳花开 丁一 黑龙江人民出版社1975年版

丁一散文诗合集·少年 丁一 华夏出版社1989年版

红叶 丁丁 北平海音社1926年版

过去的恋歌 丁丁 群众图书公司1926年版

我俩的心 丁丁 北平海音社1928年版

未寄的诗 丁丁 上海群众书局1929年版

召唤 丁力 南京正风图书公司1948年版

俯首集 丁力 上海新文艺出版社1955年版

北京的早晨 丁力 北京人民出版社1959年版

踏天曲 丁力 河南人民出版社1982年版

社会主义的山歌 丁丹 浙江人民出版社1956年版

家乡呵，家乡 丁庆友 四川文艺出版社1986年版

对一座雕像的歌唱 丁庆友 作家出版社1998年版

静静的水杉 丁汗稼 江苏人民出版社1962年版

怀念 丁芒 北京解放军文艺社1981年版

我是一片绿叶 丁芒 四川文艺出版社1985年版

诗的追求 丁芒 花城出版社1987年版

依然戈壁 丁芒 广西民族出版社1994年版

消息 丁图 上海南极出版社1948年版

星底梦 歌青春（丁景唐） 沪江书屋1945年版

我俩的心 丁淼 北平海音社1928年版

未寄的诗 丁淼 上海群众出版社1929年版

过去的恋歌 丁淼 上海群众出版社1931年版

第五季的水仙 丁颖 台湾蓝灯出版社1971年版

五年集 七等生 台湾林白出版社1972年版

情与诗 七等生 台湾远行出版社1977年版

梦湖的鹿 刁永泉 长安诗家编委会1984年版

高原的牧铃 力匡 香港高原出版社1955年版

枷锁与自由 力扬 昆明诗文学社1939年版

我底竖琴 力扬 昆明诗文学社1944年版

射虎者及其家族 力扬 新文艺出版社1951年版

力扬集 力扬 中国社会科学出版社2008年版





三画

控诉 三川 北平黎明书店1948年版

北极星 三川 北平黎明书店1948年版

台湾人民盼解放 三川 新华书店东北总分店1950年版

白桦林随想曲 万忆萱 吉林人民出版社1983年版

