事项索引


百学连环 259

裨治文 91，120，477，494，497～501，506，511，514

博医会 115，142～147，439，457

部定词 442，444～445，455～461

策鳌杂摭 193～194，205～207，210，373，432

察世俗每月统记传 235，374～375，473，491

柴萼 289，291，293，295，298，300，313，549

长与专斋 223～225

词化（词汇化） 6～8，10，29，47，55～56，109，115，118～119，123，125，165，197，234，363，489，505～508，514，551

大槻玄泽 64，67，69，72～74，76～79，81，83～84，89，91，93，96，308

戴德生（戴雅各） 528～531，541

荻生徂徕 67

丁韪良 139，155，237，350，522，532

东文报译 11～12，171，176，248，254，285，372，374，376～377，381，383，385～390，393～397，400～406，409～410

东西洋考每月统记传 235，374，473，477，485，492

东洋史要 373

樊增祥 158，290，295，300，307～308

梵天庐丛录 289，549

冯桂芬 236，238，243，501，520，535

福泽谕吉 24～25，99，105，132，238，284，429，468～469，511～513，540

傅兰雅 11，114～115，134～144，147，149～151，168，184，200，226，245，258，262，296～297，327，420，542～543

格物入门 139，522，532，535

格物探原 520～522

郭嵩焘 225，229，238～241，284，501

合信 8，11，64，87，107，115，123～126，140，143，260，422～423，434，477，480，517，523，530

和文汉读法 37，281～284，305，373

和英语林集成 106，113，198，540

和制汉语（和製漢語） 29，42，49，65，100～101，186，248，544～545

赫美玲 112，416，435～441，443～445，453，455，459，461，487

胡以鲁 29，31～32，34，38，50，151，185，325～330，337，364，544，546

沪上销夏录 388，397～400

嘉约翰 126，139，143，259，533

江南制造总局 135，140，155，200，233，244，260，262，275，419～421，457，518，522，535，541～542

解体新书 10，25，63～85，87～90，92～99，164，248，308

井上哲次郎 99，101，113，128～129，133，155，327，383～385，398

理雅各 130，467～472，478～481，484～488，494～495，506～508，511～512，514～515

梁启超 37，149，154，157，166，178～183，185，190～191，218，226，238，246，249～251，254～255，269～270，272，274～284，286，290～293，300～301，305，310，315，320，323，327，335～336，340，373～374，376～377，379，401，404，409～410，433，453，514～515，548

六合丛谈 235～236，248，374，421，486～487，516，520～523，526～527，531～533，535，537～538，541

罗伯聃 157，468

罗存德 11，87，107，112，114～115，119～123，127～134，138，141，155，184，197，199，226，327，487，508～510，513～515，519，533～534，540

罗森 193，195～200，235，375

马礼逊 7，11，14，23，26，111～112，114～123，132，140，155，157，435，461，465，472～473，475，477，482，485，488，491～492，507，518～519，529，534

玛高温 236，238

麦都思 14，24，32，112～114，118～123，130，132，197，199，226，235，467，473，485，488，491～492，494，498，501，506，508，518～519，529～531，534

盲人瞎马之新名词 50，191，226，318～319，322，324，415

名词馆 151，182，186，313，415～416，444～455，457，461

墨海书馆 24，52，114，126，137，244，419，421，467，469～470，472，476，486，488，496～497，516，522～523，525，527～532，535

平文 113，126，198

全体新论 64，87，123～124，143，260，517，530

萨丕尔 40

杉田玄白 63，69～72，75～78，84，87～89，409

天演论 153～159，162～165，167，170～171，173，175～177，289，309，361，405，543

同文馆 24，52，135，154～155，177，191～192，229，233，237～238，243～244，247，274～275，370，373，378，415，532，535

汪康年 275～277，285，313，376～378，384～399，401～402，404

王国维 185，191，288，290，295，310，313～315，326，329，373，448，455，457，461，544，549，555

王韬 24，193，200，204～205，219，230，467，488，501，522～523，527～531，541

韦廉臣 8，28，236，422，467，520～521

伟烈亚力 24，128，419，421，467，479，481，485～486，491，525～527，531～532，537，541

吴汝纶 154，157～162，177，182，309

西周 25，99～100，105，132，259，316

遐迩贯珍 32，195，235～236，248，374～375，423，484～487，494～495，501，509，521，527，530，532，534

新尔雅 310，382，425

新汉语（新漢語） 4，23，30，46，48，65，101，114，127，132～133，307，352，416，539，554

新名词 4～5，50，184，186，190～191，226，288～320，322～324，330，404，412，415，461，542～543，549，553～554

新谓词 5，543，552～554

熊元锷 293～294

学务纲要 151，296～298，307～311

雅驯 8，79，158，160～161，173，178～180，213，290，296～299，306～309，329，507，515

严复 9，11，25，30，32～33，46，61，80，113～114，150～186，217，255，288～291，293，300，302，309，311～316，327，343，361，405，415，425，427，435～436，442，444～461，507，542～544

医学英华字释 123，125，143，422

英华书院 195，244，248，467，470，473，484，495，509，527

英华字典 11，28，87，107，111～112，114～118，121，127～129，131～134，141，155，197，199，204，226，327，482，487，507～508，513～515，518～519，533～534

游历日本图经余记 193，219

宇田川榕庵 90，536，539

张之洞 151，169，244～246，255，282，295～297，300，310～312，372，375，448

哲学字汇 46，99，101，104～105，107～109，113，173，540

植物学 8，25～26，28，49，70，90～91，96，99，101，105，107～108，120，146，155，205，222，241，258，277，418～420，422，444，456，458～460，466～467，520，525，536～537，539

智环启蒙塾课初步 467，495～496，506～509，511～513，515，517，532





