气候图


冬至 十一月中 蚯蚓结 麋角解 水泉动

小寒 十二月节 雁北乡 鹊始巢 雉始雊

大寒 十二月中 鸡始乳 鸷鸟厉疾 水泽腹坚

立春 正月节 东风解冻 蛰虫始振 鱼上冰

雨水 正月中 獭祭鱼 鸿雁来 草木萌动

惊蛰 二月节 桃始华 仓庚鸣 鹰化为鸠

春分 二月中 玄鸟至 雷乃发声 始电

清明 三月节 桐始华 田鼠化为鴽 虹始见

谷雨 三月中 萍始生 鸣鸠拂其羽 戴胜降于桑

立夏 四月节 蝼蝈鸣 蚯蚓出 王瓜生

小满 四月中 苦菜秀 靡草死 小暑至

芒种 五月节 螗螂生 鵙始鸣 反舌无声

夏至 五月中 鹿角解 蜩始鸣 半夏生

小暑 六月节 温风至 蟋蟀居壁 鹰乃学习

大暑 六月中 腐草为萤 土润溽暑 大雨时行

立秋 七月节 凉风至 白露降 寒蝉鸣

处暑 七月中 鹰祭鸟 天地始肃 禾乃登

白露 八月节 鸿雁来 玄鸟归 群鸟养羞

秋分 八月中 雷乃收声 蛰虫坯户 水始涸

寒露 九月节 鸿雁来宾 雀入水为蛤 菊有黄华

霜降 九月中 豺祭兽 草木黄落 蛰虫咸俯

立冬 十月节 水始冰 地始冻 雉入水为蜃

小雪 十月中 虹藏不见 天气上腾地气下降 闭塞成冬

大雪 十一月节 鹖鸟不鸣 虎始交 荔挺出





