附录二　译名对照表


本表按第一字的画数和起笔次序（、一︳丿）排列，先画数，后起笔。其中部作二画，廾、之（辶）作三画。

三　画

大流士　Darius

四　画

火诺利乌斯　Honorius

扎玛　Zama

比提尼亚　Bithynie

戈尔地亚努司　Gordien

瓦罗，铁伦求斯　Varron，Térentius

瓦列里安　Valérien

瓦连图斯　Valens

瓦连提尼安　Valentinien

不列颠　Bretagne

巴比伦　Babylone

巴巴里　Barbarie

巴尔兰　Barlaam

巴吉尔　Basile

巴列亚尔　Baléares

巴勒斯坦　Palestine

巴雅吉特　Bajazet

巴尔比诺司　Balbin

孔莫都斯　Commode

以扫里安人　Isaurien

比利牛斯山　Pyrénées

五　画

汉尼拔　Annibal

圣山　Mont-Sacre

圣・埃弗勒芒　Saint-Évremond

汉尼拔　Annibal

圣山　Mont-Sacre

布艮第人　Bourguignons

布鲁图斯，戴奇谟斯　Brutus，Décimus

布尔戈涅家　Bourgogne

弗利斯兰　Frise

尼禄　Néron

尼格尔，佩斯肯纽司　Niger，Pescennius

尼凯亚　Nicée

尼西比司　Nisibe

尼科美德　Nicoméde

尼塞达斯　Nicétas

加图　Caton

卡普阿　Capoue

卡尔西敦　Chalcédoine

卡西乌斯　Cassius

卡里古拉，盖约　Caligula，Caïus

卡里尼柯　Callinique

卡拉卡拉　Caracalla

卡普阿人　Capouans

卡庇托留姆　Capitole

卡帕多齐亚　Cappadoce

包杜安　Baudouin

幼发拉底河　Euphrate

六　画

安娜　Anne

安东尼　Antoine

安求姆　Antium

安提冈　Antigone

安条库斯　Antiochus

安托尼诺斯　Antonin

安多洛尼克　Andronic

安多洛玛克　Andromaque

安提帕特尔　Antipater

齐诺　Zeno

米西亚　Mysie

米凯尔，圣　Michel，Saint

米凯尔，口吃者　Michel-le-Bègue

米特利达特　Mithridate

米凯兰哲罗　Michel-Ange

西西里　Sicile

西塞罗，马尔库斯・图留斯　Cicéron，Marcus Tullius

西徐亚　Scythie

西徐亚人　Scythes

西布利人　Cimbres

西拉库赛　Syracuse

西哥特人　Wisigoths

芒都　Mantoue

亚速海　Palus-Méotides

亚历山大　Alexandre

亚历山大・塞维洛司　Alexandre-Sévère

亚历山大里亚　Alexandrie

亚列克赛　Alexis

亚里士多德　Aristote

托勒密　Ptolomée

托斯卡尼人　Toscans

列昂　Léon

列昂，以扫里安　Léon l’Isaurien

列昂，阿尔明尼亚人　Léon l’Arm-énien

列吉拉　Régille

列古鲁斯　Régulus

列庇都斯　Lépidus

列姆诺斯　Lemnos

达奇人　Daces

那波里　Naples

朱诺　Junon

朱庇特　Jupiter

多米先　Domitien

多瑙河　Danube

色雷斯　Thrace

匈奴人　Huns

优古儿塔　Jugurtha

优美涅司　Euménès

优蒂希斯　Eutichès

伊列娜　Irène

伊里利亚　Illyrie

伊奥尼亚　Ionie

伊奥尼亚海　Ionienne

伊壁鸠鲁　Épicure

伊特鲁里亚人　Étrusques

约瑟夫　Josèph

七　画

